Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 20.00      0.03     0.03   138109     0.22     0.22  GameObject::GetRotation() const
 20.00      0.06     0.03     1182    25.38    76.49  GameWidget::OnTimer()
 13.33      0.08     0.02    69068     0.29     0.69  Foe::Draw(QPainter*) const
  6.67      0.09     0.01   689421     0.01     0.01  GameObject::GetY() const
  6.67      0.10     0.01   220176     0.05     0.05  std::vector<QImage, std::allocator<QImage> >::operator[](unsigned int) const
  6.67      0.11     0.01   149842     0.07     0.07  GameObject::SetXSpeed(double)
  6.67      0.12     0.01   107165     0.09     0.09  std::vector<Bubble*, std::allocator<Bubble*> >::operator[](unsigned int)
  6.67      0.13     0.01    80832     0.12     0.12  GameObject::Wrap()
  6.67      0.14     0.01     2364     4.23     4.37  Player::ApplyMovement(QPixmap const&)
  6.67      0.15     0.01                             __x86.get_pc_thunk.bx
  0.00      0.15     0.00   989991     0.00     0.00  GameObject::GetX() const
  0.00      0.15     0.00   500486     0.00     0.00  Foe::IsCaught() const
  0.00      0.15     0.00   484664     0.00     0.00  std::vector<Wasp*, std::allocator<Wasp*> >::operator[](unsigned int)
  0.00      0.15     0.00   437902     0.00     0.00  GameObject::GetXSpeed() const
  0.00      0.15     0.00   328320     0.00     0.00  GameObject::GetHitdX() const
  0.00      0.15     0.00   328320     0.00     0.00  GameObject::GetHitdY() const
  0.00      0.15     0.00   276164     0.00     0.00  Foe::IsAngry() const
  0.00      0.15     0.00   238969     0.00     0.00  std::vector<Player*, std::allocator<Player*> >::size() const
  0.00      0.15     0.00   220176     0.00     0.05  GameObject::GetSprite(int) const
  0.00      0.15     0.00   197262     0.00     0.00  std::vector<Wasp*, std::allocator<Wasp*> >::size() const
  0.00      0.15     0.00   173064     0.00     0.00  std::vector<Player*, std::allocator<Player*> >::operator[](unsigned int)
  0.00      0.15     0.00   164160     0.00     0.03  GameObject::Distance(GameObject const*) const
  0.00      0.15     0.00   163996     0.00     0.00  GameObject::Randomize() const
  0.00      0.15     0.00   163993     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned int) const
  0.00      0.15     0.00   151113     0.00     0.00  QFlags<Qt::ImageConversionFlag>::QFlags(Qt::ImageConversionFlag)
  0.00      0.15     0.00   103927     0.00     0.00  QRectF::QRectF(double, double, double, double)
  0.00      0.15     0.00   103927     0.00     0.00  QRectF::QRectF()
  0.00      0.15     0.00   103927     0.00     0.00  QPainter::drawPixmap(int, int, int, int, QPixmap const&)
  0.00      0.15     0.00    91321     0.00     0.00  GameObject::GetYSpeed() const
  0.00      0.15     0.00    81060     0.00     0.00  GameObject::SetX(double)
  0.00      0.15     0.00    81060     0.00     0.00  GameObject::SetY(double)
  0.00      0.15     0.00    77354     0.00     0.00  GameObject::IsFacingRight() const
  0.00      0.15     0.00    75461     0.00     0.00  GameObject::IsAlive() const
  0.00      0.15     0.00    72518     0.00     0.00  GameObject::SetYSpeed(double)
  0.00      0.15     0.00    71405     0.00     0.00  GameObject::IsOnGround() const
  0.00      0.15     0.00    69477     0.00     0.00  bool QBasicAtomicOps<4>::deref<int>(int&)
  0.00      0.15     0.00    69477     0.00     0.00  QBasicAtomicInteger<int>::deref()
  0.00      0.15     0.00    69477     0.00     0.00  QString::QString(char const*)
  0.00      0.15     0.00    69477     0.00     0.00  QString::~QString()
  0.00      0.15     0.00    69477     0.00     0.00  QtPrivate::RefCount::deref()
  0.00      0.15     0.00    69477     0.00     0.00  QBasicAtomicInteger<int>::load() const
  0.00      0.15     0.00    69476     0.00     0.00  QTypedArrayData<unsigned short>::deallocate(QArrayData*)
  0.00      0.15     0.00    69041     0.00     0.00  GameObject::SetRotation(double)
  0.00      0.15     0.00    69041     0.00     0.00  Foe::Escape()
  0.00      0.15     0.00    69041     0.00     0.37  Wasp::ApplyMovement(int, std::vector<double, std::allocator<double> > const&)
  0.00      0.15     0.00    69041     0.00     0.00  GameObject::GetRotSpeed() const
  0.00      0.15     0.00    35477     0.00     0.00  GameObject::FaceRight()
  0.00      0.15     0.00    33423     0.00     0.00  GameObject::FaceLeft()
  0.00      0.15     0.00    18971     0.00     0.00  std::vector<Bubble*, std::allocator<Bubble*> >::size() const
  0.00      0.15     0.00    14126     0.00     0.00  qRed(unsigned int)
  0.00      0.15     0.00     8245     0.00     0.08  Bubble::ApplyMovement(long, std::vector<double, std::allocator<double> > const&)
  0.00      0.15     0.00     8245     0.00     0.00  Bubble::Age()
  0.00      0.15     0.00     8243     0.00     0.00  GameObject::SetHitdX(double)
  0.00      0.15     0.00     8243     0.00     0.00  GameObject::SetHitdY(double)
  0.00      0.15     0.00     8242     0.00     0.11  Bubble::Draw(QPainter*, int, std::vector<double, std::allocator<double> > const&)
  0.00      0.15     0.00     2368     0.00     0.00  GameObject::Draw(QPainter*)
  0.00      0.15     0.00     2368     0.00     0.00  std::vector<QImage, std::allocator<QImage> >::operator[](unsigned int)
  0.00      0.15     0.00     2366     0.00     0.09  Bubbleaf::Draw(QPainter*)
  0.00      0.15     0.00     2364     0.00     0.00  GameObject::Fall(QPixmap const&, double)
  0.00      0.15     0.00     2364     0.00     0.00  GameObject::Charge()
  0.00      0.15     0.00     2364     0.00     0.00  Player::ApplyKeys()
  0.00      0.15     0.00     2035     0.00     0.00  std::vector<QImage, std::allocator<QImage> >::size() const
  0.00      0.15     0.00     1628     0.00     0.00  QImage const& std::forward<QImage const&>(std::remove_reference<QImage const&>::type&)
  0.00      0.15     0.00     1546     0.00     0.00  double const& std::forward<double const&>(std::remove_reference<double const&>::type&)
  0.00      0.15     0.00     1362     0.00     0.00  Player::GetLeft() const
  0.00      0.15     0.00     1362     0.00     0.00  Player::GetRight() const
  0.00      0.15     0.00     1325     0.00     0.00  operator new(unsigned int, void*)
  0.00      0.15     0.00     1318     0.00     0.00  Player::GetUp() const
  0.00      0.15     0.00     1221     0.00     0.00  __gnu_cxx::new_allocator<QImage>::max_size() const
  0.00      0.15     0.00     1201     0.00     0.00  qt_noop()
  0.00      0.15     0.00     1201     0.00     0.00  QScopedPointer<QObjectData, QScopedPointerDeleter<QObjectData> >::operator->() const
  0.00      0.15     0.00     1184     0.00     0.00  QRect::width() const
  0.00      0.15     0.00     1184     0.00     0.00  QRect::height() const
  0.00      0.15     0.00     1184     0.00     0.00  QWidget::width() const
  0.00      0.15     0.00     1184     0.00     0.00  QWidget::height() const
  0.00      0.15     0.00     1182     0.00     0.08  Bubbleaf::ApplyMovement(int, std::vector<double, std::allocator<double> > const&)
  0.00      0.15     0.00      861     0.00     0.00  std::_Vector_base<QImage, std::allocator<QImage> >::_M_get_Tp_allocator()
  0.00      0.15     0.00      814     0.00     0.00  std::_Vector_base<QImage, std::allocator<QImage> >::_M_get_Tp_allocator() const
  0.00      0.15     0.00      814     0.00     0.00  std::vector<QImage, std::allocator<QImage> >::max_size() const
  0.00      0.15     0.00      814     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<QImage> >::__maxsize_helper<std::allocator<QImage> const>::value, unsigned int>::type std::allocator_traits<std::allocator<QImage> >::_S_max_size<std::allocator<QImage> const>(std::allocator<QImage> const&)
  0.00      0.15     0.00      814     0.00     0.00  std::allocator_traits<std::allocator<QImage> >::max_size(std::allocator<QImage> const&)
  0.00      0.15     0.00      814     0.00     0.00  QImage* std::__make_move_if_noexcept_iterator<QImage*, QImage*>(QImage*)
  0.00      0.15     0.00      729     0.00     0.00  QKeyEvent::key() const
  0.00      0.15     0.00      549     0.00     0.00  Wasp* const& std::forward<Wasp* const&>(std::remove_reference<Wasp* const&>::type&)
  0.00      0.15     0.00      512     0.00     0.00  void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&)
  0.00      0.15     0.00      512     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<double> >::__construct_helper<double, double const&>::value, void>::type std::allocator_traits<std::allocator<double> >::_S_construct<double, double const&>(std::allocator<double>&, double*, double const&)
  0.00      0.15     0.00      512     0.00     0.00  decltype (_S_construct({parm#1}, {parm#2}, (forward<double const&>)({parm#3}))) std::allocator_traits<std::allocator<double> >::construct<double, double const&>(std::allocator<double>&, double*, double const&)
